DrawNo,DrawDate,1stPrizeNo,2ndPrizeNo,3rdPrizeNo,SpecialNo1,SpecialNo2,SpecialNo3,SpecialNo4,SpecialNo5,SpecialNo6,SpecialNo7,SpecialNo8,SpecialNo9,SpecialNo10,ConsolationNo1,ConsolationNo2,ConsolationNo3,ConsolationNo4,ConsolationNo5,ConsolationNo6,ConsolationNo7,ConsolationNo8,ConsolationNo9,ConsolationNo10
040792,19920506,0019,1124,0592,0950,2479,7139,3114,4609,7836,8981,4465,6114,5301,5311,1949,1606,3775,6226,1271,7455,7227,9258,0407
040892,19920507,0905,3591,8690,7202,6796,4959,2008,7506,8364,1770,8376,0861,7478,4562,0823,8938,1933,5378,9909,7586,9765,4640,9963
040992,19920510,4162,5766,9514,9309,9344,1573,5077,1037,6498,8325,7203,4754,7849,6908,4809,0464,1932,8240,2725,6294,9991,5707,6754
041092,19920513,8060,4939,0023,4607,7550,3038,5542,6792,1722,5747,6235,6947,1202,6683,2863,8238,8435,5799,6684,9326,0361,7529,7599
041192,19920514,5371,5472,3489,6872,2455,0600,4590,7261,3384,8670,7869,5664,4100,1683,6817,4710,6375,4702,9716,6082,9674,8899,7760
041292,19920517,6917,9058,0689,1337,8176,6711,3979,6195,9340,4421,0302,2605,5748,8390,3578,2928,9052,5627,9009,9876,4323,3573,4553
041392,19920520,1765,7819,7323,4484,0194,4250,5873,0890,4133,1558,2420,1589,6190,2116,1603,3035,6298,4620,1426,2135,9507,8118,0409
041492,19920521,9429,4624,8724,7704,3671,4701,4395,2168,3583,4832,7545,9270,9607,3931,2596,7327,0447,4277,9267,1724,1646,6181,0533
041592,19920524,2719,8619,1121,8176,6265,6792,4738,7083,4193,3013,7757,2923,3087,1162,0485,9365,7385,1742,0097,2836,4814,7867,3382
041692,19920527,9815,9594,0408,8995,9428,6689,4185,5083,1183,0055,9180,1507,6691,4791,3275,1575,0138,0733,8270,8267,4519,9989,8258
041792,19920528,3051,1234,9039,7497,0704,0162,8296,1305,0081,2846,5472,1659,0965,3184,5462,4227,0702,8244,8755,2636,7818,8516,2716
041892,19920531,3876,9285,8726,8746,4867,8341,6204,7663,4042,9559,5573,2298,5513,6082,0093,6128,1096,5894,5923,3195,3233,4542,0592
041992,19920603,7450,8356,4274,3185,2361,9267,4306,0213,8845,1668,0019,3443,7990,9451,7241,5625,1365,6489,3392,9023,9827,9730,2233
042092,19920604,1672,4804,0953,9584,8038,5954,4716,0189,2866,3293,7385,6122,2307,3911,6482,5693,4162,8835,8285,2961,4591,4868,3323
042192,19920607,3348,4681,5559,7610,6901,2440,6136,3523,6260,4572,9334,4429,8178,7266,1948,2643,4304,2106,2170,4952,9358,6424,6111
042292,19920610,8507,3040,5886,5941,0981,6218,3388,0349,1500,6106,9238,0926,7079,2244,1579,8735,2992,5134,5134,8863,2816,9605,1401
042392,19920611,8200,8500,1925,3921,2593,2992,4583,9848,6373,3380,2762,4195,4944,3388,4140,2511,9803,2784,4558,3651,6493,7548,4164
042492,19920614,5409,7926,5569,2922,9788,2941,4716,3471,3541,5850,4128,1906,4956,2453,4743,3700,7031,9690,3058,8328,2809,7790,3279
042592,19920617,6440,7312,2448,7425,1155,5334,5711,2291,1447,3377,0920,6309,3541,6321,6069,0150,5517,7763,7365,8790,9350,5389,9685
042692,19920618,2277,1070,5745,9082,2914,0739,3810,4867,4243,4176,0213,6582,0589,0098,5372,4254,6444,5683,1536,3429,3401,0167,1021
042792,19920621,8800,6987,8115,2471,6745,4302,4425,8251,6251,3413,6350,7646,7329,2224,6057,9499,3343,7179,4722,7639,4505,0625,8564
042892,19920624,3722,3697,5286,3061,4255,2335,7944,6032,1995,8683,8875,4432,1529,7894,1509,4374,4407,5293,4191,1468,5378,1327,7585
042992,19920625,3343,9500,0651,8276,1120,0076,5832,3517,6652,1798,0167,9073,8143,4770,4290,7031,3464,3508,4512,4152,1584,6795,4352
043092,19920628,1265,3746,9464,1670,6001,9321,0881,1882,8191,1951,8796,0967,7622,8372,8380,3017,1091,4706,9669,8790,0140,5206,8075
043192,19920701,3322,2179,0164,7595,7148,4196,9435,3341,4095,5083,2832,6767,7930,5002,9300,7472,7531,1385,8167,8074,0202,3461,7922
043292,19920702,7988,9072,9371,2155,2310,1303,9030,3899,9835,4577,2531,2893,9582,0032,4512,0730,7506,7387,6640,5802,7221,7384,6036
043392,19920705,2187,8093,6369,9970,4852,7344,5502,3983,3100,6771,7729,1329,9691,6079,7090,3874,7286,3582,3974,4764,2304,3957,8244
043492,19920708,2747,9184,2972,4357,7839,0088,4931,8779,3583,8924,2231,5681,1576,7813,1440,2643,0424,3203,3728,0166,6289,4318,2200
043592,19920709,7829,3893,5543,0331,2362,5447,5682,9100,4280,1118,8226,3093,5580,9385,9997,9681,2601,2774,7464,6096,0989,6433,5622
043692,19920712,0808,3904,6677,0884,3336,6824,9665,0359,1518,4522,8943,6912,5959,3554,8647,0359,1877,4142,7206,3687,8090,7712,8626
043792,19920715,3759,9205,5411,8393,6653,6852,2573,0150,5996,5801,3489,8536,6812,0633,0340,3542,7718,7261,6463,9750,9883,9256,1291
043892,19920716,8467,0829,3595,6308,5242,4398,3688,1547,7001,2548,1210,6877,7153,9910,1368,9264,2072,8277,4226,0545,3913,3036,9204
043992,19920719,8114,4061,8145,9034,0786,9240,6734,2512,4635,3433,3535,3240,2937,8853,3117,2299,3331,9299,5751,6265,7615,0355,6044
044092,19920722,2970,6115,1835,5462,4157,4979,8596,2622,4658,5168,1886,6716,0183,9003,6544,1869,4124,6179,7716,4788,9381,8932,1660
044192,19920723,2843,3478,9657,8804,0169,3835,7447,4844,5559,4074,6891,9837,5229,0534,4310,3862,3763,3711,7800,5817,5403,5371,1436
044292,19920726,9272,1628,9516,4511,6701,1119,9468,7102,5772,0364,0631,6233,5300,2166,2459,9337,8146,9906,1355,6108,1248,7407,2258
044392,19920729,6346,2409,5855,7884,2911,3539,3049,0273,7469,1741,2693,3538,8710,4543,7514,6634,9678,7922,1767,1180,7437,7925,9359
044492,19920730,8679,0358,7641,2732,0533,4280,7312,0899,0788,9974,6479,3481,2741,1054,0718,0213,0401,8350,2296,0700,6561,3725,6483
044592,19920802,2282,0696,6519,6686,5387,8527,8489,2909,4510,1119,0309,5756,5600,3719,7834,5670,8100,2832,1477,2851,8264,9118,7481
044692,19920805,2281,3683,0717,1224,8631,7145,2156,4550,5003,5460,0597,4073,8092,2650,4717,2947,2054,0324,4741,3204,2126,1835,4333
044792,19920806,1715,0908,8147,4786,7285,4997,6830,2340,6041,5569,3546,1497,9800,2813,1490,4775,7512,7650,8573,3744,5073,4072,1824
044892,19920809,2138,4534,2655,0542,5748,1398,1949,3551,4965,2589,5215,6788,0901,6552,7141,3952,2181,2199,5450,6462,8142,9515,2343
044992,19920812,4887,6517,6219,9987,8857,5876,8611,2055,6831,4666,5985,0223,6446,3939,6399,2724,3696,6040,1977,0912,7650,1322,7848
045092,19920813,5592,6130,1566,2475,6756,8868,8345,5187,6789,3347,1119,5276,8398,7858,8343,3939,3024,4920,8246,6522,2211,7627,9178
045192,19920816,1269,8281,4385,6323,2599,9409,7022,8826,7652,8125,3080,1406,6712,4842,9177,6505,4848,0676,5715,5475,2616,5498,7964
045292,19920819,2330,5688,0523,2860,0867,9995,8139,9373,9162,6677,7800,6969,5160,7947,4935,1680,5666,9552,4817,9287,0258,5753,1317
045392,19920820,8444,2081,2407,4047,4345,3941,1570,0684,0772,4801,6934,3071,4118,0778,1730,5959,7536,3200,2638,4064,4348,0184,1913
045492,19920823,4766,3766,0416,7714,5511,8210,9333,7602,5118,7699,0629,9153,7129,4288,7493,8711,5345,9991,4359,9699,9529,6954,8424
045592,19920826,3666,1281,3797,9169,0265,3262,9897,1114,5603,4673,0106,0992,7711,2569,6568,1451,3369,1048,1344,2211,5302,3123,4606
045692,19920827,7587,2822,5002,6016,9121,0423,7854,5980,1250,2257,4845,4440,4389,5420,2120,3142,2518,6423,9674,9691,4809,4173,9501
045792,19920830,3237,1540,7078,8157,9506,8992,9754,4058,2904,5011,3205,4515,0290,1524,9904,0187,2968,7090,6706,2733,4893,7328,7380
045892,19920902,9244,3176,4174,0563,0662,8311,1712,2162,2055,3454,5958,0245,2764,3442,0836,1137,5378,7364,3364,9772,0245,1705,3305
045992,19920903,8264,2383,0790,1587,6599,4666,8140,1140,6897,0014,6125,1918,9158,1342,5924,7213,5239,1364,0737,1549,4069,8080,2173
046092,19920906,8095,8601,1154,0840,3300,7743,4283,6949,0612,3937,0069,6629,6638,9843,7014,5366,9980,7720,9952,3921,6107,0755,5270
046192,19920909,3859,3673,8533,5438,1004,3271,2822,0908,4317,5606,7537,1372,2790,4075,1206,7390,9399,7807,0620,5267,5599,4227,4470
