DrawNo,DrawDate,PrizeType,LuckyNo
040792,1992-05-06,1stPrizeNo,0019
040792,1992-05-06,2ndPrizeNo,1124
040792,1992-05-06,3rdPrizeNo,0592
040792,1992-05-06,ConsolationNo1,5311
040792,1992-05-06,ConsolationNo10,0407
040792,1992-05-06,ConsolationNo2,1949
040792,1992-05-06,ConsolationNo3,1606
040792,1992-05-06,ConsolationNo4,3775
040792,1992-05-06,ConsolationNo5,6226
040792,1992-05-06,ConsolationNo6,1271
040792,1992-05-06,ConsolationNo7,7455
040792,1992-05-06,ConsolationNo8,7227
040792,1992-05-06,ConsolationNo9,9258
040792,1992-05-06,SpecialNo1,0950
040792,1992-05-06,SpecialNo10,5301
040792,1992-05-06,SpecialNo2,2479
040792,1992-05-06,SpecialNo3,7139
040792,1992-05-06,SpecialNo4,3114
040792,1992-05-06,SpecialNo5,4609
040792,1992-05-06,SpecialNo6,7836
040792,1992-05-06,SpecialNo7,8981
040792,1992-05-06,SpecialNo8,4465
040792,1992-05-06,SpecialNo9,6114
040892,1992-05-07,1stPrizeNo,0905
040892,1992-05-07,2ndPrizeNo,3591
040892,1992-05-07,3rdPrizeNo,8690
040892,1992-05-07,ConsolationNo1,4562
040892,1992-05-07,ConsolationNo10,9963
040892,1992-05-07,ConsolationNo2,0823
040892,1992-05-07,ConsolationNo3,8938
040892,1992-05-07,ConsolationNo4,1933
040892,1992-05-07,ConsolationNo5,5378
040892,1992-05-07,ConsolationNo6,9909
040892,1992-05-07,ConsolationNo7,7586
040892,1992-05-07,ConsolationNo8,9765
040892,1992-05-07,ConsolationNo9,4640
040892,1992-05-07,SpecialNo1,7202
040892,1992-05-07,SpecialNo10,7478
040892,1992-05-07,SpecialNo2,6796
040892,1992-05-07,SpecialNo3,4959
040892,1992-05-07,SpecialNo4,2008
040892,1992-05-07,SpecialNo5,7506
040892,1992-05-07,SpecialNo6,8364
040892,1992-05-07,SpecialNo7,1770
040892,1992-05-07,SpecialNo8,8376
040892,1992-05-07,SpecialNo9,0861
040992,1992-05-10,1stPrizeNo,4162
040992,1992-05-10,2ndPrizeNo,5766
040992,1992-05-10,3rdPrizeNo,9514
040992,1992-05-10,ConsolationNo1,6908
040992,1992-05-10,ConsolationNo10,6754
040992,1992-05-10,ConsolationNo2,4809
040992,1992-05-10,ConsolationNo3,0464
040992,1992-05-10,ConsolationNo4,1932
040992,1992-05-10,ConsolationNo5,8240
040992,1992-05-10,ConsolationNo6,2725
040992,1992-05-10,ConsolationNo7,6294
040992,1992-05-10,ConsolationNo8,9991
040992,1992-05-10,ConsolationNo9,5707
040992,1992-05-10,SpecialNo1,9309
040992,1992-05-10,SpecialNo10,7849
040992,1992-05-10,SpecialNo2,9344
040992,1992-05-10,SpecialNo3,1573
040992,1992-05-10,SpecialNo4,5077
040992,1992-05-10,SpecialNo5,1037
040992,1992-05-10,SpecialNo6,6498
040992,1992-05-10,SpecialNo7,8325
040992,1992-05-10,SpecialNo8,7203
040992,1992-05-10,SpecialNo9,4754
041092,1992-05-13,1stPrizeNo,8060
041092,1992-05-13,2ndPrizeNo,4939
041092,1992-05-13,3rdPrizeNo,0023
041092,1992-05-13,ConsolationNo1,6683
041092,1992-05-13,ConsolationNo10,7599
041092,1992-05-13,ConsolationNo2,2863
041092,1992-05-13,ConsolationNo3,8238
041092,1992-05-13,ConsolationNo4,8435
041092,1992-05-13,ConsolationNo5,5799
041092,1992-05-13,ConsolationNo6,6684
041092,1992-05-13,ConsolationNo7,9326
041092,1992-05-13,ConsolationNo8,0361
041092,1992-05-13,ConsolationNo9,7529
041092,1992-05-13,SpecialNo1,4607
041092,1992-05-13,SpecialNo10,1202
041092,1992-05-13,SpecialNo2,7550
041092,1992-05-13,SpecialNo3,3038
041092,1992-05-13,SpecialNo4,5542
041092,1992-05-13,SpecialNo5,6792
041092,1992-05-13,SpecialNo6,1722
041092,1992-05-13,SpecialNo7,5747
041092,1992-05-13,SpecialNo8,6235
041092,1992-05-13,SpecialNo9,6947
041192,1992-05-14,1stPrizeNo,5371
041192,1992-05-14,2ndPrizeNo,5472
041192,1992-05-14,3rdPrizeNo,3489
041192,1992-05-14,ConsolationNo1,1683
041192,1992-05-14,ConsolationNo10,7760
041192,1992-05-14,ConsolationNo2,6817
041192,1992-05-14,ConsolationNo3,4710
041192,1992-05-14,ConsolationNo4,6375
041192,1992-05-14,ConsolationNo5,4702
041192,1992-05-14,ConsolationNo6,9716
041192,1992-05-14,ConsolationNo7,6082
041192,1992-05-14,ConsolationNo8,9674
041192,1992-05-14,ConsolationNo9,8899
041192,1992-05-14,SpecialNo1,6872
041192,1992-05-14,SpecialNo10,4100
041192,1992-05-14,SpecialNo2,2455
041192,1992-05-14,SpecialNo3,0600
041192,1992-05-14,SpecialNo4,4590
041192,1992-05-14,SpecialNo5,7261
041192,1992-05-14,SpecialNo6,3384
041192,1992-05-14,SpecialNo7,8670
041192,1992-05-14,SpecialNo8,7869
041192,1992-05-14,SpecialNo9,5664
041292,1992-05-17,1stPrizeNo,6917
041292,1992-05-17,2ndPrizeNo,9058
041292,1992-05-17,3rdPrizeNo,0689
041292,1992-05-17,ConsolationNo1,8390
041292,1992-05-17,ConsolationNo10,4553
041292,1992-05-17,ConsolationNo2,3578
041292,1992-05-17,ConsolationNo3,2928
