"Date","Price","Open","High","Low","Vol.","Change %"
"May 24, 2019","8.99","9.00","9.05","8.96","4.78M","-0.33%"
"May 23, 2019","9.02","8.75","9.10","8.75","9.07M","0.33%"
"May 21, 2019","8.99","9.00","9.04","8.95","5.88M","-0.11%"
"May 17, 2019","9.00","9.00","9.02","8.98","5.44M","0.45%"
"May 16, 2019","8.96","9.01","9.02","8.96","6.56M","-0.55%"
"May 15, 2019","9.01","8.98","9.04","8.95","14.21M","0.56%"
"May 14, 2019","8.96","8.90","8.99","8.90","9.81M","-0.22%"
"May 13, 2019","8.98","8.98","9.00","8.91","9.16M","0.11%"
"May 10, 2019","8.97","8.97","8.99","8.91","9.95M","0.00%"
"May 09, 2019","8.97","8.98","9.00","8.96","11.64M","0.00%"
"May 08, 2019","8.97","8.98","8.98","8.91","5.89M","-0.22%"
"May 07, 2019","8.99","9.02","9.03","8.92","6.70M","-3.33%"
"May 06, 2019","9.30","9.25","9.30","9.21","3.01M","0.43%"
"May 03, 2019","9.26","9.26","9.30","9.25","9.42M","0.11%"
"May 02, 2019","9.25","9.25","9.30","9.24","5.77M","0.00%"
"Apr 30, 2019","9.25","9.17","9.30","9.14","13.97M","1.20%"
"Apr 29, 2019","9.14","9.15","9.16","9.12","4.70M","0.00%"
"Apr 26, 2019","9.14","9.14","9.19","9.13","8.89M","0.11%"
"Apr 25, 2019","9.13","9.14","9.18","9.12","9.55M","-0.11%"
"Apr 24, 2019","9.14","9.22","9.33","9.12","11.42M","-0.22%"
"Apr 23, 2019","9.16","9.17","9.17","9.13","5.86M","0.11%"
"Apr 22, 2019","9.15","9.10","9.19","9.10","6.55M","0.66%"
"Apr 19, 2019","9.09","9.02","9.11","9.00","4.48M","1.00%"
"Apr 18, 2019","9.00","8.99","9.02","8.75","19.80M","0.00%"
"Apr 17, 2019","9.00","9.20","9.20","8.99","19.41M","-2.28%"
"Apr 16, 2019","9.21","9.25","9.29","9.20","10.53M","-0.43%"
"Apr 15, 2019","9.25","9.27","9.31","9.25","4.28M","-0.22%"
"Apr 12, 2019","9.27","9.26","9.28","9.26","6.40M","0.11%"
"Apr 11, 2019","9.26","9.28","9.29","9.26","9.16M","-0.22%"
"Apr 10, 2019","9.28","9.29","9.30","9.26","7.98M","-0.22%"
"Apr 09, 2019","9.30","9.28","9.30","9.25","9.05M","0.22%"
"Apr 08, 2019","9.28","9.28","9.29","9.25","5.18M","0.22%"
"Apr 05, 2019","9.26","9.26","9.29","9.24","7.89M","-0.11%"
"Apr 04, 2019","9.27","9.24","9.30","9.24","9.26M","0.32%"
"Apr 03, 2019","9.24","9.29","9.29","9.24","8.13M","-0.11%"
"Apr 02, 2019","9.25","9.27","9.29","9.22","9.28M","0.54%"
"Apr 01, 2019","9.20","9.28","9.29","9.19","10.00M","-0.76%"
"Mar 29, 2019","9.27","9.28","9.29","9.23","12.31M","0.11%"
"Mar 28, 2019","9.26","9.26","9.30","9.25","10.76M","0.00%"
"Mar 27, 2019","9.26","9.30","9.31","9.25","7.54M","0.11%"
"Mar 26, 2019","9.25","9.23","9.30","9.23","13.55M","0.22%"
"Mar 25, 2019","9.23","9.25","9.29","9.22","8.18M","-0.65%"
"Mar 22, 2019","9.29","9.43","9.44","9.26","9.65M","-1.17%"
"Mar 21, 2019","9.40","9.48","9.48","9.30","10.79M","-0.74%"
"Mar 20, 2019","9.47","9.47","9.50","9.44","4.19M","-0.11%"
"Mar 19, 2019","9.48","9.49","9.50","9.47","7.33M","-0.11%"
"Mar 18, 2019","9.49","9.50","9.52","9.48","4.20M","0.21%"
"Mar 15, 2019","9.47","9.54","9.55","9.47","12.41M","-0.21%"
"Mar 14, 2019","9.49","9.55","9.55","9.47","6.03M","-0.63%"
"Mar 13, 2019","9.55","9.49","9.55","9.47","9.01M","0.63%"
"Mar 12, 2019","9.49","9.48","9.54","9.47","6.56M","0.21%"
"Mar 11, 2019","9.47","9.53","9.54","9.47","5.99M","-0.63%"
"Mar 08, 2019","9.53","9.53","9.58","9.51","10.00M","0.00%"
"Mar 07, 2019","9.53","9.52","9.60","9.52","9.14M","-0.10%"
"Mar 06, 2019","9.54","9.56","9.57","9.53","6.94M","0.10%"
"Mar 05, 2019","9.53","9.53","9.58","9.53","5.97M","-0.10%"
